,DateTime,FlightName,Recons Error,Threshold 1,Threshold 2,Prediction,RootCause,RCComponent,Active,,minD,max(D),Normalized Values
0,31/12/2022 7:55,Tail 1,1.915,2.2,3,0,,,0,,0.593,4.834,0.311718934
1,1/1/2023 2:35,Tail 2,2.598,2.2,3,0,,,0,,,,0.472765857
2,2/1/2023 9:44,Tail 3,1.591,2.2,3,0,,,0,,,,0.235321858
3,5/1/2023 10:43,Tail 4,2.471,2.2,3,0,,,0,,,,0.44282009
4,6/1/2023 9:28,Tail 1,2.827,2.2,3,0,,,0,,,,0.526762556
5,7/1/2023 1:38,TAil 4,2.845,2.2,3,1,Pressure,Right,0,,,,0.531006838
6,8/1/2023 2:15,Tail 2,2.744,2.2,3,1,Pressure,Right,0,,,,0.5071917
7,8/1/2023 22:48,Tail 3,2.717,2.2,3,1,Pressure,Right,0,,,,0.500825277
8,10/1/2023 13:55,Tail 5,2.746,2.2,3,1,Pressure,Right,1,,,,0.507663287
9,11/1/2023 10:43,Tail 6,2.599,2.2,3,1,Pressure,Right,1,,,,0.473001651
10,12/1/2023 12:43,Tail 5,1.603,2.2,3,0,,,0,,,,0.238151379
11,13/1/2023 11:23,Tail 6,2.351,2.2,3,1,Pressure,Right,1,,,,0.414524876
12,19/1/2023 14:06,Tail 6,1.613,2.2,3,0,,,0,,,,0.240509314
13,20/1/2023 10:30,Tail 4,3.954,2.2,3,1,Pressure,Right,1,,,,0.792501768
14,22/1/2023 1:12,Tail 3,1.196,2.2,3,0,,,0,,,,0.142183447
15,22/1/2023 22:31,Tail 2,4.834,2.2,3,1,Pressure,Right,1,,,,1
16,24/1/2023 9:27,Tail 8,1.02,2.2,3,0,,,0,,,,0.100683801
17,27/1/2023 10:18,Tail 5,0.97,2.2,3,0,,,0,,,,0.088894129
18,29/1/2023 9:18,Tail 3,0.697,2.2,3,0,,,0,,,,0.024522518
19,30/1/2023 2:09,Tail 9,0.792,2.2,3,0,,,0,,,,0.046922896
20,31/1/2023 14:13,Tail 7,0.593,2.2,3,0,,,0,,,,0
21,1/2/2023 10:37,Tail 5,1.2,2.2,3,0,,,0,,,,0.143126621
22,3/2/2023 2:11,Tail 5,0.802,2.2,3,0,,,0,,,,0.04928083
23,3/2/2023 22:30,Tail 4,0.968,2.2,3,0,,,0,,,,0.088422542
24,5/2/2023 9:15,Tail 3,0.714,2.2,3,0,,,0,,,,0.028531007
25,6/2/2023 2:04,Tail 9,0.972,2.2,3,0,,,0,,,,0.089365716
26,7/2/2023 9:12,Tail 10,0.728,2.2,3,0,,,0,,,,0.031832115
27,8/2/2023 2:18,Tail 10,1.072,2.2,3,0,,,0,,,,0.11294506
